Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-07-06,Flight,2012,https://boxd.it/4twgu9,3,,,2023-07-05
2023-07-10,Past Lives,2023,https://boxd.it/4uK2uB,4,,,2023-07-09
2023-07-13,Terminator 2: Judgment Day,1991,https://boxd.it/4vFNtT,4,,,2023-07-12
2023-07-15,Born on the Fourth of July,1989,https://boxd.it/4wh6El,3.5,,,2023-07-15
2023-07-17,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/4wVEb3,3.5,,,2023-07-16
2023-07-21,Barbie,2023,https://boxd.it/4y9Lyl,3.5,,,2023-07-20
2023-07-22,Oppenheimer,2023,https://boxd.it/4yHRFv,4,,,2023-07-22
2023-07-23,Shame,2011,https://boxd.it/4yZhGX,3.5,,,2023-07-22
2023-07-27,Memento,2000,https://boxd.it/4AR41J,5,,,2023-07-26
2023-07-29,Interstellar,2014,https://boxd.it/4BtP4h,4.5,Yes,,2023-07-28
2023-07-31,Frances Ha,2012,https://boxd.it/4CiD4L,2,,,2023-07-30
2023-08-04,Studio 54,2018,https://boxd.it/4DMbBh,3,,,2023-08-03
2023-08-06,Sex and the City,2008,https://boxd.it/4Es7gj,1,,,2023-08-05
2023-08-11,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/4G4Z05,3.5,,,2023-08-10
2023-08-14,Untold: Johnny Football,2023,https://boxd.it/4GYTwV,3.5,,,2023-08-13
2023-08-14,Untold: Jake Paul the Problem Child,2023,https://boxd.it/4H3wRh,2.5,,,2023-08-13
2023-08-18,Creed III,2023,https://boxd.it/4ImFnR,3.5,,,2023-08-17
2023-08-26,Casino Royale,2006,https://boxd.it/4KJi2F,3.5,,,2023-08-25
2023-08-28,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/4LfU1J,2,,,2023-08-27
2023-08-28,Greenberg,2010,https://boxd.it/4LhO97,3,,,2023-08-27
2023-08-28,Mean Girls,2004,https://boxd.it/4LpkNn,4.5,Yes,,2023-08-27
2023-09-03,Love & Other Drugs,2010,https://boxd.it/4Ngo0J,4,,,2023-09-02
2023-09-04,Prisoners,2013,https://boxd.it/4NDpwn,4.5,,,2023-09-03
2023-09-09,Game Night,2018,https://boxd.it/4OYrmP,3.5,,,2023-09-08
2023-09-13,Celeste & Jesse Forever,2012,https://boxd.it/4Q9PjB,3,,,2023-09-12
2023-09-13,Hotel Mumbai,2018,https://boxd.it/4QcEl3,4,,,2023-09-12
2023-09-23,"Crack: Cocaine, Corruption & Conspiracy",2021,https://boxd.it/4SUhJR,3.5,,,2023-09-22
2023-09-30,Dumb Money,2023,https://boxd.it/4UVawB,3.5,,,2023-09-29
2023-10-01,Trainspotting,1996,https://boxd.it/4VdhY9,4,,,2023-09-30
2023-10-03,The Wonderful Story of Henry Sugar,2023,https://boxd.it/4W1hR3,4,,,2023-10-02
2023-10-05,Before Midnight,2013,https://boxd.it/4WHS9L,4,,,2023-10-04
2023-10-08,Beckham,2023,https://boxd.it/4XEtJd,4,,,2023-10-07
2023-10-14,You Hurt My Feelings,2023,https://boxd.it/4ZyFC5,1.5,,,2023-10-13
2023-10-14,The Silence of the Lambs,1991,https://boxd.it/4ZF17v,4.5,,,2023-10-14
2023-10-15,Deion's Double Play,2019,https://boxd.it/4ZPREr,3,,,2023-10-14
2023-10-15,Cha Cha Real Smooth,2022,https://boxd.it/5029Mx,5,,,2023-10-14
2023-10-21,13 Going on 30,2004,https://boxd.it/51PV83,3.5,,,2023-10-20
2023-10-22,Tropic Thunder,2008,https://boxd.it/52egZl,3.5,,,2023-10-21
2023-11-01,No Hard Feelings,2023,https://boxd.it/55GKxJ,2.5,,,2023-10-31
2023-11-03,Office Space,1999,https://boxd.it/56pEa5,4,Yes,,2023-11-02
2023-11-05,Killers of the Flower Moon,2023,https://boxd.it/56WDh1,4,,,2023-11-04
2023-11-11,Elf,2003,https://boxd.it/58M6qH,3.5,,,2023-11-10
2023-11-11,Priscilla,2023,https://boxd.it/58TZEt,3.5,,,2023-11-10
2023-11-12,The Inbetweeners Movie,2011,https://boxd.it/59gIhD,1,,,2023-11-11
2023-11-13,Ted 2,2015,https://boxd.it/59oB9X,3,,,2023-11-12
2023-11-15,The Killer,2023,https://boxd.it/5aedRb,4,,,2023-11-14
2023-11-20,"Planes, Trains and Automobiles",1987,https://boxd.it/5bG7bX,3,,,2023-11-19
2023-11-23,The Firm,1993,https://boxd.it/5cI5e9,3,,,2023-11-22
2023-11-26,Shortcomings,2023,https://boxd.it/5dBRdX,3,,,2023-11-25
2023-12-01,The Prestige,2006,https://boxd.it/5fuOjd,4,,,2023-11-30
2023-12-03,May December,2023,https://boxd.it/5gencB,4,,,2023-12-02
2023-12-08,Hot Tub Time Machine,2010,https://boxd.it/5hStvj,3.5,,,2023-12-07
2023-12-10,Godzilla Minus One,2023,https://boxd.it/5iw5e9,3.5,,,2023-12-09
2023-12-10,Talladega Nights: The Ballad of Ricky Bobby,2006,https://boxd.it/5iC6vH,3.5,,,2023-12-09
2023-12-11,The Sitter,2011,https://boxd.it/5iKwVx,2,,,2023-12-10
2023-12-17,Trading Places,1983,https://boxd.it/5kQNEX,3,,,2023-12-16
2023-12-19,The Sound of Music,1965,https://boxd.it/5lJvav,4,Yes,,2023-12-18
2023-12-22,The Deer Hunter,1978,https://boxd.it/5mR669,3.5,,,2023-12-21
2023-12-22,The Nightmare Before Christmas,1993,https://boxd.it/5n3np7,4,,,2023-12-21
2023-12-23,Love Actually,2003,https://boxd.it/5nunTv,3,,,2023-12-22
2023-12-24,Saltburn,2023,https://boxd.it/5nK539,2,,,2023-12-23
2023-12-25,Christmas As Usual,2023,https://boxd.it/5osSrR,2.5,,,2023-12-24
2023-12-27,Napoleon,2023,https://boxd.it/5pCPiB,2.5,,,2023-12-27
2023-12-31,The Rules of Attraction,2002,https://boxd.it/5rMd9f,2.5,,,2023-12-30
2024-01-02,Clerks,1994,https://boxd.it/5t9FGh,3.5,,,2024-01-01
2024-01-04,The Holdovers,2023,https://boxd.it/5usvFF,5,,,2024-01-03
2024-01-05,Begin Again,2013,https://boxd.it/5v1I2h,3,,,2024-01-04
2024-01-12,Oldboy,2003,https://boxd.it/5zn8iX,4.5,,,2024-01-11
2024-01-19,Sideways,2004,https://boxd.it/5D5QMH,3,,,2024-01-18
2024-02-02,Poor Things,2023,https://boxd.it/5K2or9,4,,,2024-02-01
2024-02-04,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/5L26TD,4.5,,,2024-02-03
2024-02-09,My Big Fat Greek Wedding,2002,https://boxd.it/5NcBAZ,3.5,,,2024-02-08
2024-02-16,Bottoms,2023,https://boxd.it/5Q6KXD,3.5,,,2024-02-15
2024-02-16,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/5Q9ogt,4,,,2024-02-15
2024-02-18,Chinatown,1974,https://boxd.it/5RfzGX,4.5,,,2024-02-17
2024-02-19,14 Peaks: Nothing Is Impossible,2021,https://boxd.it/5RUlLr,3.5,,,2024-02-18
2024-02-22,American Fiction,2023,https://boxd.it/5T6fx7,3,,,2024-02-21
2024-02-24,EuroTrip,2004,https://boxd.it/5U6CmZ,3,,,2024-02-24
2024-02-26,Dawn of the Planet of the Apes,2014,https://boxd.it/5V74yj,4,,,2024-02-25
2024-02-26,Road Trip,2000,https://boxd.it/5V875V,2.5,,,2024-02-25
2024-02-28,Anatomy of a Fall,2023,https://boxd.it/5VZyQl,3.5,,,2024-02-27
2024-03-04,Anyone But You,2023,https://boxd.it/5Yhejb,2.5,,,2024-03-03
2024-03-07,Spring Breakers,2012,https://boxd.it/5ZDSWl,2,,,2024-03-06
2024-03-08,Dune,2021,https://boxd.it/607stH,4,Yes,,2024-03-07
2024-03-10,Dune: Part Two,2024,https://boxd.it/615BSV,5,,,2024-03-09
2024-03-12,Someone Great,2019,https://boxd.it/624qY1,2,,,2024-03-11
2024-03-12,Mr. & Mrs. Smith,2005,https://boxd.it/627KTB,3.5,,,2024-03-11
2024-03-14,The Usual Suspects,1995,https://boxd.it/633Lxd,3.5,,,2024-03-14
2024-03-19,Bend It Like Beckham,2002,https://boxd.it/65beKd,4,,,2024-03-18
2024-03-19,Raging Bull,1980,https://boxd.it/65bfrB,4,,,2024-03-18
2024-03-19,Shane Gillis: Beautiful Dogs,2023,https://boxd.it/65kP5T,3,,,2024-03-18
2024-03-21,La Haine,1995,https://boxd.it/66dLXR,5,,,2024-03-20
2024-03-24,Love & Basketball,2000,https://boxd.it/67AoX5,3.5,,,2024-03-23
2024-03-25,Parasite,2019,https://boxd.it/67WLC9,5,Yes,,2024-03-24
2024-03-26,Sallie Gardner at a Gallop,1878,https://boxd.it/68mSpj,,,,2024-03-25
2024-03-26,The Big Shave,1967,https://boxd.it/68mV0V,,,,2024-03-25
2024-03-26,Ramy Youssef: More Feelings,2024,https://boxd.it/68y8lp,3.5,,,2024-03-25
2024-03-27,Ramy Youssef: Feelings,2019,https://boxd.it/68Qd11,3.5,,,2024-03-26
2024-03-27,Road House,2024,https://boxd.it/690oZr,2,,,2024-03-26
2024-03-30,Pete Davidson: Turbo Fonzarelli,2024,https://boxd.it/6aakIb,3.5,,,2024-03-29
2024-03-30,Pokémon Detective Pikachu,2019,https://boxd.it/6apgPx,3.5,,,2024-03-29
2024-04-02,My Cousin Vinny,1992,https://boxd.it/6bWQWp,3.5,,,2024-04-01
2024-04-06,Chungking Express,1994,https://boxd.it/6dBYCt,3.5,,,2024-04-05
2024-04-08,Baby Driver,2017,https://boxd.it/6eEBbz,3.5,,,2024-04-07
2024-04-09,Monkey Man,2024,https://boxd.it/6f2EOx,4,,,2024-04-08
2024-04-12,What Jennifer Did,2024,https://boxd.it/6gcpS9,0.5,,,2024-04-11
2024-04-15,Civil War,2024,https://boxd.it/6hs4hx,2.5,,,2024-04-14
2024-04-19,Black Swan,2010,https://boxd.it/6iMo8f,5,,,2024-04-18
2024-04-22,School Daze,1988,https://boxd.it/6k1GSJ,2,,,2024-04-21
2024-04-29,Baby Reindeer,2024,https://boxd.it/6mQIwZ,4,,,2024-04-28
